account_id,name,branch_code,account_type,is_smurf_related,role
ACC_00066,Tracy House,BR-KOL,SAVINGS,False,normal
ACC_00067,Carol Tucker,BR-KOL,SAVINGS,False,normal
ACC_00068,James Brown,BR-BLR,SAVINGS,False,normal
ACC_00069,William Baker,BR-MUM,CURRENT,False,normal
ACC_00070,Jordan Henderson,BR-MUM,SAVINGS,False,normal
ACC_00071,Whitney Peters,BR-KOL,CURRENT,False,normal
ACC_00072,Brittney Phillips,BR-LKO,SAVINGS,False,normal
ACC_00073,Lauren Daniels,BR-DEL,CURRENT,False,normal
ACC_00074,Amy Silva,BR-BLR,SAVINGS,False,normal
ACC_00075,Sarah Moore,BR-DEL,SAVINGS,False,normal
ACC_00076,Angela Lopez,BR-KOL,SAVINGS,False,normal
ACC_00077,Megan Young,BR-DEL,CURRENT,False,normal
ACC_00078,Steve Sanchez,BR-DEL,SAVINGS,False,normal
ACC_00079,Lisa Barnes,BR-MUM,CURRENT,False,normal
ACC_00080,Kelly Donovan,BR-KOL,SAVINGS,False,normal
ACC_00081,Mike Allen,BR-BLR,CURRENT,False,normal
ACC_00082,Michael Evans,BR-MUM,SAVINGS,False,normal
ACC_00083,Paul Jones,BR-BLR,CURRENT,False,normal
ACC_00084,Zachary Ferrell,BR-BLR,CURRENT,False,normal
ACC_00085,Daniel Baker,BR-KOL,CURRENT,False,normal
ACC_00086,Shirley Suarez,BR-DEL,SAVINGS,False,normal
ACC_00087,Christopher Bass,BR-MUM,SAVINGS,False,normal
ACC_00088,Lisa Archer,BR-BLR,SAVINGS,False,normal
ACC_00089,Aimee Montoya,BR-KOL,SAVINGS,False,normal
ACC_00090,Matthew Mcmillan,BR-KOL,SAVINGS,False,normal
ACC_00091,Brian Rodriguez,BR-DEL,SAVINGS,False,normal
ACC_00092,Denise Jacobs,BR-DEL,SAVINGS,False,normal
ACC_00093,Christina Walters,BR-DEL,SAVINGS,False,normal
ACC_00094,John Whitehead,BR-BLR,SAVINGS,False,normal
ACC_00095,Anna Henderson,BR-KOL,SAVINGS,False,normal
ACC_00096,Aaron Wise,BR-BLR,CURRENT,False,normal
ACC_00097,Deborah Figueroa,BR-MUM,SAVINGS,False,normal
ACC_00098,Jessica Smith,BR-KOL,CURRENT,False,normal
ACC_00099,Stephen Mckee,BR-MUM,CURRENT,False,normal
ACC_00100,Sandra Aguilar,BR-LKO,SAVINGS,False,normal
ACC_00101,Cameron Parker,BR-DEL,SAVINGS,False,normal
ACC_00102,Rebecca Valencia,BR-LKO,CURRENT,False,normal
ACC_00103,Christine Wright,BR-LKO,CURRENT,False,normal
ACC_00104,Richard Henson,BR-LKO,SAVINGS,False,normal
ACC_00105,Marc Moore,BR-DEL,SAVINGS,False,normal
ACC_00106,Sharon Cherry,BR-LKO,CURRENT,False,normal
ACC_00107,Sierra Johnson,BR-DEL,SAVINGS,False,normal
ACC_00108,Evelyn Galvan,BR-MUM,SAVINGS,False,normal
ACC_00109,Sharon Cochran,BR-KOL,CURRENT,False,normal
ACC_00110,Richard Rodriguez,BR-MUM,CURRENT,False,normal
ACC_00111,Shannon Walker,BR-MUM,CURRENT,False,normal
ACC_00112,Julia Torres,BR-LKO,SAVINGS,False,normal
ACC_00113,Crystal Johnson,BR-DEL,CURRENT,False,normal
ACC_00114,Garrett Lin,BR-KOL,SAVINGS,False,normal
ACC_00115,Diana May,BR-DEL,SAVINGS,False,normal
ACC_00116,William Herrera,BR-DEL,SAVINGS,False,normal
ACC_00117,Ashley Waller,BR-MUM,CURRENT,False,normal
ACC_00118,Victor Baker,BR-LKO,CURRENT,False,normal
ACC_00119,Jeffrey Chandler,BR-MUM,CURRENT,False,normal
ACC_00120,Larry Dixon,BR-DEL,SAVINGS,False,normal
ACC_00121,Kenneth Scott,BR-LKO,SAVINGS,False,normal
ACC_00122,April Frost,BR-LKO,CURRENT,False,normal
ACC_00123,Michelle Harmon,BR-LKO,CURRENT,False,normal
ACC_00124,Helen Jones,BR-LKO,CURRENT,False,normal
ACC_00125,Erin Edwards,BR-MUM,SAVINGS,False,normal
ACC_00126,Michelle Evans,BR-BLR,SAVINGS,False,normal
ACC_00127,Jason Powell,BR-DEL,SAVINGS,False,normal
ACC_00128,Cameron Fisher,BR-BLR,SAVINGS,False,normal
ACC_00129,Megan Orr,BR-DEL,CURRENT,False,normal
ACC_00130,Elizabeth Kelley,BR-KOL,SAVINGS,False,normal
ACC_00131,Dustin Jordan,BR-DEL,SAVINGS,False,normal
ACC_00132,Mary Marshall,BR-MUM,SAVINGS,False,normal
ACC_00133,Daniel Kennedy,BR-KOL,SAVINGS,False,normal
ACC_00134,Rebecca Jackson,BR-MUM,CURRENT,False,normal
ACC_00135,Jose Schultz,BR-DEL,SAVINGS,False,normal
ACC_00136,Robert Potter,BR-KOL,SAVINGS,False,normal
ACC_00137,Courtney Gonzalez,BR-KOL,SAVINGS,False,normal
ACC_00138,David Alvarez,BR-LKO,CURRENT,False,normal
ACC_00139,Angel Perry,BR-BLR,SAVINGS,False,normal
ACC_00140,Cheyenne Horton,BR-BLR,SAVINGS,False,normal
ACC_00141,David Douglas Jr.,BR-BLR,CURRENT,False,normal
ACC_00142,Patricia Rodriguez,BR-MUM,CURRENT,False,normal
ACC_00143,Christopher Rubio,BR-LKO,CURRENT,False,normal
ACC_00144,Amber Wright,BR-DEL,SAVINGS,False,normal
ACC_00145,Joyce Solis,BR-LKO,SAVINGS,False,normal
ACC_00146,Victoria Larson,BR-DEL,SAVINGS,False,normal
ACC_00147,Stephanie Salazar,BR-KOL,CURRENT,False,normal
ACC_00148,Kathy Rivas,BR-MUM,CURRENT,False,normal
ACC_00149,Stephanie Manning,BR-DEL,SAVINGS,False,normal
ACC_00150,David Wright,BR-BLR,CURRENT,False,normal
ACC_00151,Pamela Boyd,BR-MUM,CURRENT,False,normal
ACC_00152,Denise Jones,BR-KOL,CURRENT,False,normal
ACC_00153,Devon Flores,BR-KOL,SAVINGS,False,normal
ACC_00154,Brenda Hall,BR-KOL,CURRENT,False,normal
ACC_00155,Michelle Brown,BR-DEL,SAVINGS,False,normal
ACC_00156,Joshua Perry,BR-BLR,SAVINGS,False,normal
ACC_00157,Jason Stein,BR-DEL,SAVINGS,False,normal
ACC_00158,Melissa Gates,BR-BLR,CURRENT,False,normal
ACC_00159,Jamie Smith,BR-KOL,SAVINGS,False,normal
ACC_00160,Paul Castaneda,BR-BLR,SAVINGS,False,normal
ACC_00161,Jennifer Adkins,BR-BLR,CURRENT,False,normal
ACC_00162,Lindsey Walker,BR-BLR,SAVINGS,False,normal
ACC_00163,Jeffrey Johnson,BR-DEL,CURRENT,False,normal
ACC_00164,Michael Powell,BR-BLR,SAVINGS,False,normal
ACC_00165,John Anderson,BR-DEL,CURRENT,False,normal
ACC_00166,Alyssa Long,BR-MUM,CURRENT,False,normal
ACC_00167,Alyssa Day,BR-MUM,CURRENT,False,normal
ACC_00168,Joel Williams,BR-KOL,CURRENT,False,normal
ACC_00169,Daniel Murphy,BR-KOL,SAVINGS,False,normal
ACC_00170,Jamie Walton,BR-DEL,SAVINGS,False,normal
ACC_00171,Darlene Miller,BR-MUM,SAVINGS,False,normal
ACC_00172,Joshua Cooke,BR-BLR,SAVINGS,False,normal
ACC_00173,Matthew Harrington,BR-LKO,SAVINGS,False,normal
ACC_00174,Nicole Herring,BR-DEL,CURRENT,False,normal
ACC_00175,Alex Hernandez,BR-BLR,SAVINGS,False,normal
ACC_00176,Michael Elliott,BR-BLR,SAVINGS,False,normal
ACC_00177,Michael Wang,BR-MUM,SAVINGS,False,normal
ACC_00178,Lawrence Adkins,BR-BLR,CURRENT,False,normal
ACC_00179,Robert Oconnell,BR-KOL,SAVINGS,False,normal
ACC_00180,Alexander Collins,BR-MUM,SAVINGS,False,normal
ACC_00181,Tina Sanders,BR-MUM,CURRENT,False,normal
ACC_00182,Angela Vaughn,BR-DEL,SAVINGS,False,normal
ACC_00183,Ashley Barton,BR-BLR,CURRENT,False,normal
ACC_00184,Lindsay Martinez,BR-MUM,CURRENT,False,normal
ACC_00185,Dr. Hannah Patterson,BR-MUM,SAVINGS,False,normal
ACC_00186,Jonathan Peterson,BR-LKO,SAVINGS,False,normal
ACC_00187,Samantha Garcia,BR-LKO,SAVINGS,False,normal
ACC_00188,Madison Poole,BR-MUM,CURRENT,False,normal
ACC_00189,Jessica Gross,BR-BLR,CURRENT,False,normal
ACC_00190,Debra Morton,BR-MUM,SAVINGS,False,normal
ACC_00191,Karen Graham,BR-DEL,SAVINGS,False,normal
ACC_00192,Debra Christian,BR-LKO,CURRENT,False,normal
ACC_00193,Angelica Keith,BR-BLR,SAVINGS,False,normal
ACC_00194,John Bishop,BR-BLR,CURRENT,False,normal
ACC_00195,Allen Rosales,BR-KOL,CURRENT,False,normal
ACC_00196,Daniel Salinas,BR-KOL,CURRENT,False,normal
ACC_00197,Spencer Haynes,BR-DEL,SAVINGS,False,normal
ACC_00198,Adam Vaughan,BR-BLR,SAVINGS,False,normal
ACC_00199,Nathan Freeman,BR-KOL,CURRENT,False,normal
ACC_00200,Melissa Brewer,BR-DEL,SAVINGS,False,normal
ACC_00201,Ricky Davis II,BR-KOL,CURRENT,False,normal
ACC_00202,Elizabeth Perkins,BR-BLR,CURRENT,False,normal
ACC_00203,Joseph Coleman,BR-LKO,SAVINGS,False,normal
ACC_00204,Erin Warner,BR-LKO,SAVINGS,False,normal
ACC_00205,David Martinez,BR-BLR,SAVINGS,False,normal
ACC_00206,Bryan Herrera,BR-LKO,SAVINGS,False,normal
ACC_00207,Cathy Robinson,BR-KOL,SAVINGS,False,normal
ACC_00208,Dr. William Warren,BR-BLR,CURRENT,False,normal
ACC_00209,Brian Lee,BR-DEL,CURRENT,False,normal
ACC_00210,Christopher Smith,BR-KOL,CURRENT,False,normal
ACC_00211,Denise Mccann,BR-DEL,CURRENT,False,normal
ACC_00212,Melissa Martinez,BR-KOL,CURRENT,False,normal
ACC_00213,Katherine Salas,BR-LKO,CURRENT,False,normal
ACC_00214,Julie Alexander,BR-LKO,CURRENT,False,normal
ACC_00215,Anthony Everett,BR-KOL,SAVINGS,False,normal
ACC_00216,Rodney Morales,BR-MUM,CURRENT,False,normal
ACC_00217,Mark Brown,BR-LKO,SAVINGS,False,normal
ACC_00218,Justin Torres,BR-KOL,CURRENT,False,normal
ACC_00219,Bailey Duran DDS,BR-LKO,SAVINGS,False,normal
ACC_00220,Courtney Mills,BR-BLR,CURRENT,False,normal
ACC_00221,Jeremy Dalton,BR-MUM,CURRENT,False,normal
ACC_00222,Elizabeth Oliver DDS,BR-KOL,CURRENT,False,normal
ACC_00223,Theresa Clark,BR-LKO,CURRENT,False,normal
ACC_00224,Matthew Moore,BR-LKO,SAVINGS,False,normal
ACC_00225,Benjamin Smith,BR-KOL,CURRENT,False,normal
ACC_00226,Kirk Carter,BR-MUM,SAVINGS,False,normal
ACC_00227,Michael Warner,BR-BLR,CURRENT,False,normal
ACC_00228,Michael Bradshaw,BR-DEL,SAVINGS,False,normal
ACC_00229,Lori Guerrero,BR-BLR,SAVINGS,False,normal
ACC_00230,Jessica Stephens,BR-MUM,SAVINGS,False,normal
ACC_00231,Susan Serrano,BR-DEL,SAVINGS,False,normal
ACC_00232,Christopher Parker,BR-MUM,CURRENT,False,normal
ACC_00233,Laura Roberts,BR-KOL,SAVINGS,False,normal
ACC_00234,Michael Lyons,BR-LKO,CURRENT,False,normal
ACC_00235,Kathryn Snyder,BR-KOL,SAVINGS,False,normal
ACC_00236,Andrew Reynolds,BR-LKO,CURRENT,False,normal
ACC_00237,David Davis,BR-LKO,SAVINGS,False,normal
ACC_00238,Sara Johnston,BR-MUM,SAVINGS,False,normal
ACC_00239,Yvonne Chambers,BR-DEL,CURRENT,False,normal
ACC_00240,Andrew Avila,BR-MUM,SAVINGS,False,normal
ACC_00241,Matthew Moon,BR-KOL,CURRENT,False,normal
ACC_00242,Kevin Walters,BR-DEL,SAVINGS,False,normal
ACC_00243,Brandon Bailey MD,BR-DEL,CURRENT,False,normal
ACC_00244,Shannon Rivera,BR-MUM,CURRENT,False,normal
ACC_00245,Donna Landry,BR-KOL,CURRENT,False,normal
ACC_00246,Krista Gibson,BR-LKO,CURRENT,False,normal
ACC_00247,Frank Cordova,BR-KOL,CURRENT,False,normal
ACC_00248,Jose Travis,BR-MUM,CURRENT,False,normal
ACC_00249,Kimberly Gutierrez,BR-LKO,CURRENT,False,normal
ACC_00250,Isaiah Avila,BR-MUM,CURRENT,False,normal
ACC_00251,Olivia Harris,BR-KOL,CURRENT,False,normal
ACC_00252,Tanya Kim,BR-MUM,CURRENT,False,normal
ACC_00253,Barbara Dudley,BR-LKO,SAVINGS,False,normal
ACC_00254,Cynthia Moore,BR-BLR,SAVINGS,False,normal
ACC_00255,Kristen Davis,BR-BLR,CURRENT,False,normal
ACC_00256,Susan Murray MD,BR-BLR,SAVINGS,False,normal
ACC_00257,Kathleen Moran,BR-MUM,SAVINGS,False,normal
ACC_00258,Denise Davenport,BR-MUM,CURRENT,False,normal
ACC_00259,Mrs. Kristen Reyes,BR-MUM,SAVINGS,False,normal
ACC_00260,Katie Suarez,BR-DEL,CURRENT,False,normal
ACC_00261,Desiree Tyler,BR-LKO,CURRENT,False,normal
ACC_00262,Timothy Romero,BR-KOL,CURRENT,False,normal
ACC_00263,Diane Evans,BR-LKO,SAVINGS,False,normal
ACC_00264,Yvonne Burns,BR-MUM,CURRENT,False,normal
ACC_00265,Joshua Reed,BR-LKO,SAVINGS,False,normal
ACC_00266,Kimberly Gibson,BR-KOL,CURRENT,False,normal
ACC_00267,Colin Terry,BR-LKO,SAVINGS,False,normal
ACC_00268,Cynthia Rowe,BR-BLR,CURRENT,False,normal
ACC_00269,Patrick Thornton,BR-LKO,CURRENT,False,normal
ACC_00270,Jasmin Alvarado,BR-KOL,SAVINGS,False,normal
ACC_00271,Veronica Simpson,BR-LKO,SAVINGS,False,normal
ACC_00272,Jonathan Lawrence,BR-BLR,CURRENT,False,normal
ACC_00273,Shelly Alexander,BR-LKO,SAVINGS,False,normal
ACC_00274,Joyce Bowen,BR-LKO,CURRENT,False,normal
ACC_00275,Matthew Moore,BR-LKO,SAVINGS,False,normal
ACC_00276,Wayne Morgan,BR-LKO,SAVINGS,False,normal
ACC_00277,Marie Christian,BR-KOL,SAVINGS,False,normal
ACC_00278,Shannon James,BR-LKO,SAVINGS,False,normal
ACC_00279,Nathan Malone,BR-DEL,CURRENT,False,normal
ACC_00280,Amanda Jones,BR-MUM,CURRENT,False,normal
ACC_00281,Tammie Bright,BR-MUM,SAVINGS,False,normal
ACC_00282,Jessica Garcia,BR-BLR,CURRENT,False,normal
ACC_00283,Shelia Wallace,BR-BLR,SAVINGS,False,normal
ACC_00284,Stephanie Williams,BR-LKO,CURRENT,False,normal
ACC_00285,Elaine Brooks,BR-BLR,CURRENT,False,normal
ACC_00286,Joseph Knight,BR-BLR,CURRENT,False,normal
ACC_00287,Carolyn Miller,BR-BLR,SAVINGS,False,normal
ACC_00288,Lisa Allen,BR-LKO,SAVINGS,False,normal
ACC_00289,Briana Murray,BR-KOL,SAVINGS,False,normal
ACC_00290,David Smith,BR-BLR,SAVINGS,False,normal
ACC_00291,Stephanie Byrd,BR-DEL,SAVINGS,False,normal
ACC_00292,Jeremy Reed,BR-DEL,SAVINGS,False,normal
ACC_00293,Margaret Coleman,BR-MUM,SAVINGS,False,normal
ACC_00294,Ryan Gonzalez,BR-KOL,SAVINGS,False,normal
ACC_00295,John Young,BR-MUM,SAVINGS,False,normal
ACC_00296,Laura Haney,BR-LKO,SAVINGS,False,normal
ACC_00297,William Barrett,BR-KOL,SAVINGS,False,normal
ACC_00298,Keith Jennings,BR-LKO,CURRENT,False,normal
ACC_00299,Amber Obrien,BR-BLR,SAVINGS,False,normal
ACC_00300,Tanner Mitchell DDS,BR-KOL,SAVINGS,False,normal
ACC_00301,Heather Fields,BR-MUM,CURRENT,False,normal
ACC_00302,Megan Le,BR-DEL,SAVINGS,False,normal
ACC_00303,Sara Fuller,BR-BLR,CURRENT,False,normal
ACC_00304,Maria Parker,BR-LKO,SAVINGS,False,normal
ACC_00305,Kevin Oconnor,BR-DEL,SAVINGS,False,normal
ACC_00306,Edward Burgess,BR-DEL,CURRENT,False,normal
ACC_00307,Carlos Ryan,BR-KOL,SAVINGS,False,normal
ACC_00308,Kiara Mcintyre,BR-KOL,SAVINGS,False,normal
ACC_00309,Dawn Summers,BR-BLR,CURRENT,False,normal
ACC_00310,Dr. Paul Morgan,BR-BLR,SAVINGS,False,normal
ACC_00311,Victor Taylor,BR-KOL,CURRENT,False,normal
ACC_00312,Shannon Ramsey,BR-DEL,CURRENT,False,normal
ACC_00313,Tracy Ballard,BR-LKO,SAVINGS,False,normal
ACC_00314,Richard Smith,BR-LKO,CURRENT,False,normal
ACC_00315,Jordan Chambers,BR-LKO,SAVINGS,False,normal
ACC_00316,Lauren Carson,BR-LKO,SAVINGS,False,normal
ACC_00317,Ashley Hall,BR-KOL,CURRENT,False,normal
ACC_00318,Stephen Hoffman,BR-KOL,CURRENT,False,normal
ACC_00319,Connie Brown,BR-LKO,CURRENT,False,normal
ACC_00320,Susan Turner,BR-KOL,CURRENT,False,normal
ACC_00321,Charles Shah,BR-BLR,SAVINGS,False,normal
ACC_00322,Johnathan Davis,BR-DEL,CURRENT,False,normal
ACC_00323,Brandy Chavez,BR-LKO,SAVINGS,False,normal
ACC_00324,Natalie Bautista,BR-LKO,CURRENT,False,normal
ACC_00325,Patrick Moore,BR-BLR,SAVINGS,False,normal
ACC_00326,Brett Burns,BR-LKO,CURRENT,False,normal
ACC_00327,Trevor Johnson,BR-MUM,CURRENT,False,normal
ACC_00328,Jeremy Sampson,BR-MUM,CURRENT,False,normal
ACC_00329,Ariana Jennings,BR-BLR,CURRENT,False,normal
ACC_00330,Vanessa Howard,BR-BLR,CURRENT,False,normal
ACC_00331,Colton Martinez,BR-KOL,SAVINGS,False,normal
ACC_00332,Jordan Bates,BR-KOL,SAVINGS,False,normal
ACC_00333,Linda Smith,BR-DEL,SAVINGS,False,normal
ACC_00334,Dana Martinez,BR-LKO,CURRENT,False,normal
ACC_00335,Andrea Hubbard,BR-KOL,SAVINGS,False,normal
ACC_00336,Daniel Kane,BR-LKO,CURRENT,False,normal
ACC_00337,Charles Lester,BR-LKO,SAVINGS,False,normal
ACC_00338,Scott Thomas,BR-DEL,CURRENT,False,normal
ACC_00339,David Thompson,BR-MUM,CURRENT,False,normal
ACC_00340,Allison Smith,BR-MUM,CURRENT,False,normal
ACC_00341,Cynthia Morris,BR-KOL,CURRENT,False,normal
ACC_00342,Anthony Harmon,BR-LKO,CURRENT,False,normal
ACC_00343,Nichole Alvarez,BR-LKO,CURRENT,False,normal
ACC_00344,Kayla Rodriguez,BR-BLR,CURRENT,False,normal
ACC_00345,Theresa Williams,BR-BLR,CURRENT,False,normal
ACC_00346,Sharon Boyd,BR-BLR,SAVINGS,False,normal
ACC_00347,Victor Brown,BR-DEL,SAVINGS,False,normal
ACC_00348,James Parks,BR-BLR,SAVINGS,False,normal
ACC_00349,Theodore Jones Jr.,BR-KOL,SAVINGS,False,normal
ACC_00350,Ana Hill,BR-MUM,SAVINGS,False,normal
ACC_00351,Kimberly Nguyen,BR-LKO,CURRENT,False,normal
ACC_00352,Kerry Chavez DDS,BR-KOL,CURRENT,False,normal
ACC_00353,Michael Farrell,BR-DEL,SAVINGS,False,normal
ACC_00354,Patricia Le,BR-BLR,SAVINGS,False,normal
ACC_00355,Jesse Perez,BR-BLR,SAVINGS,False,normal
ACC_00356,Jesse Perry,BR-BLR,SAVINGS,False,normal
ACC_00357,Jeffery Ortega,BR-KOL,SAVINGS,False,normal
ACC_00358,Christian Leblanc,BR-BLR,SAVINGS,False,normal
ACC_00359,Ronald Davis,BR-DEL,CURRENT,False,normal
ACC_00360,Parker Cain,BR-MUM,CURRENT,False,normal
ACC_00361,Laurie Hoffman,BR-DEL,SAVINGS,False,normal
ACC_00362,Bryan Gomez,BR-KOL,CURRENT,False,normal
ACC_00363,Nicole Parrish,BR-LKO,CURRENT,False,normal
ACC_00364,Tracy Burke,BR-LKO,CURRENT,False,normal
ACC_00365,Kenneth Lewis,BR-MUM,SAVINGS,False,normal
ACC_00366,Courtney Rodriguez,BR-BLR,CURRENT,False,normal
ACC_00367,Holly Farmer,BR-DEL,SAVINGS,False,normal
ACC_00368,Renee Bruce,BR-LKO,CURRENT,False,normal
ACC_00369,Sabrina Austin,BR-DEL,SAVINGS,False,normal
ACC_00370,Allison Hickman,BR-MUM,SAVINGS,False,normal
ACC_00371,Debra White,BR-KOL,CURRENT,False,normal
ACC_00372,Ellen Morgan,BR-DEL,SAVINGS,False,normal
ACC_00373,Sergio Knight,BR-DEL,CURRENT,False,normal
ACC_00374,Charles Schultz,BR-KOL,SAVINGS,False,normal
ACC_00375,Paul Lewis,BR-KOL,CURRENT,False,normal
ACC_00376,Glen Wood,BR-LKO,CURRENT,False,normal
ACC_00377,Paula Bradley,BR-BLR,CURRENT,False,normal
ACC_00378,Anthony Moore,BR-BLR,SAVINGS,False,normal
ACC_00379,Megan Nelson,BR-KOL,SAVINGS,False,normal
ACC_00380,Karla Ramos,BR-MUM,SAVINGS,False,normal
ACC_00381,Paul Wilson,BR-BLR,SAVINGS,False,normal
ACC_00382,Douglas Gregory,BR-MUM,SAVINGS,False,normal
ACC_00383,Mr. Andrew Foster,BR-MUM,SAVINGS,False,normal
ACC_00384,Aimee Turner,BR-MUM,SAVINGS,False,normal
ACC_00385,Chad Scott,BR-LKO,CURRENT,False,normal
ACC_00386,Adam Burgess,BR-KOL,CURRENT,False,normal
ACC_00387,James Padilla,BR-BLR,SAVINGS,False,normal
ACC_00388,Sandra Drake,BR-MUM,CURRENT,False,normal
ACC_00389,Scott Williams,BR-BLR,CURRENT,False,normal
ACC_00390,Thomas Atkins,BR-DEL,SAVINGS,False,normal
ACC_00391,Laura Mckinney,BR-BLR,SAVINGS,False,normal
ACC_00392,Brian Smith,BR-LKO,SAVINGS,False,normal
ACC_00393,Robert Montgomery,BR-KOL,SAVINGS,False,normal
ACC_00394,Tamara Davis,BR-MUM,CURRENT,False,normal
ACC_00395,Dana Chapman,BR-MUM,SAVINGS,False,normal
ACC_00396,Jennifer Collins,BR-DEL,SAVINGS,False,normal
ACC_00397,Gary Jackson,BR-BLR,CURRENT,False,normal
ACC_00398,Ashley Hicks,BR-LKO,SAVINGS,False,normal
ACC_00399,Hannah Luna,BR-LKO,CURRENT,False,normal
ACC_00400,Robin Young,BR-LKO,CURRENT,False,normal
ACC_00401,Craig Morrison,BR-KOL,CURRENT,False,normal
ACC_00402,Mary Thompson,BR-LKO,SAVINGS,False,normal
ACC_00403,Kathleen Webster,BR-KOL,SAVINGS,False,normal
ACC_00404,Joann Glass,BR-LKO,CURRENT,False,normal
ACC_00405,Madison Weber,BR-KOL,CURRENT,False,normal
ACC_00406,Lori Hernandez,BR-DEL,SAVINGS,False,normal
ACC_00407,Jeremy Turner,BR-MUM,SAVINGS,False,normal
ACC_00408,Anthony Romero,BR-BLR,SAVINGS,False,normal
ACC_00409,Jesse Brown,BR-MUM,CURRENT,False,normal
ACC_00410,Angela Lin,BR-KOL,CURRENT,False,normal
